,Year,Region,Country,Yields,Prec,Tmean,Tmax,Tmin,SPEI,FertApp,IrrRate,CO2,FACE_dummy,log_Yields,log_CO2,log_Prec,log_Tmean,log_Tmax,PDO,TAG,WPWP,C1,C2,C3,C4,C5,C6,C7,C8,DCV,Trend,Sq_Trend,Asia,EAsia,SEAsia,SAsia,WAsia,CAsia
339,1974,SEAsia,Cambodia,11441,1270.18,23.6,27.98,20.34,7.7555,0.312565978,3.6,330.18,0,9.344958674,5.79963796,7.146913902,3.161246712,3.331489969,0,0,0,0,0,0,0,0,0,0,1,0,14,196,1,0,1,0,0,0
369,1975,SEAsia,Cambodia,12000,1533.1,23.6,27.87,20.44,4.83976,0.3456264,3.6,331.11,0,9.392661929,5.802450646,7.335047108,3.161246712,3.327550841,0,0,0,0,0,0,0,0,0,0,1,0,15,225,1,0,1,0,0,0
388,1976,SEAsia,Cambodia,11000,1454.52,23.52,27.84,20.26,4.32599,0.384348026,3.7,332.04,0,9.305650552,5.805255444,7.282431228,3.157851123,3.326473835,0,1,0,0,0,0,0,0,1,0,0,6,16,256,1,0,1,0,0,0
413,1977,SEAsia,Cambodia,10000,1273.32,23.88,28.35,20.48,-1.2209,0.423637507,3.9,333.83,0,9.210340372,5.810631881,7.149382942,3.173041289,3.34462703,1,0,0,0,0,0,0,1,0,0,0,5,17,289,1,0,1,0,0,0
438,1978,SEAsia,Cambodia,10000,1392.29,23.92,28.26,20.66,1.21665,0.463540166,4.2,335.4,0,9.210340372,5.815323849,7.238705153,3.174714929,3.341447377,1,1,0,0,1,0,0,0,0,0,0,2,18,324,1,0,1,0,0,0
463,1979,SEAsia,Cambodia,6951,1366.08,24.29,28.69,20.82,-0.54353,0.504111626,4.4,336.84,0,8.846640813,5.81960804,7.219700604,3.190064743,3.35654863,1,1,0,0,1,0,0,0,0,0,0,2,19,361,1,0,1,0,0,0
491,1980,SEAsia,Cambodia,11924,1497.63,24,28.36,20.72,-3.49728,0.545399021,4.5,338.75,0,9.386308455,5.825262372,7.311639138,3.17805383,3.344979702,1,1,1,1,0,0,0,0,0,0,0,1,20,400,1,0,1,0,0,0
513,1981,SEAsia,Cambodia,11314,1388.6,23.44,27.83,20.2,1.4995,0.587512298,4.7,340.11,0,9.333796176,5.829269095,7.236051324,3.154443965,3.326114576,1,1,1,1,0,0,0,0,0,0,0,1,21,441,1,0,1,0,0,0
539,1982,SEAsia,Cambodia,12068,1319.01,23.58,28.01,20.28,-1.32406,0.619899287,4.9,341.45,0,9.3983126,5.833201255,7.184636734,3.160398895,3.332561589,1,1,0,0,1,0,0,0,0,0,0,2,22,484,1,0,1,0,0,0
564,1983,SEAsia,Cambodia,12649,1518.85,23.72,27.97,20.5,-7.35955,0.652396493,5.2,343.05,0,9.44533344,5.837876209,7.325708749,3.166318574,3.331132507,1,1,0,0,1,0,0,0,0,0,0,2,23,529,1,0,1,0,0,0
593,1984,SEAsia,Cambodia,12883,1300.34,23.53,27.83,20.26,2.49592,0.684977079,5.9,344.65,0,9.463663892,5.842529409,7.170381048,3.158276203,3.326114576,1,0,0,0,0,0,0,1,0,0,0,5,24,576,1,0,1,0,0,0
614,1985,SEAsia,Cambodia,12497,1381.36,23.58,27.85,20.3,-2.06774,0.7176198,6,346.12,0,9.433243894,5.846785536,7.2308238,3.160398895,3.326832966,1,0,0,0,0,0,0,1,0,0,0,5,25,625,1,0,1,0,0,0
642,1986,SEAsia,Cambodia,13770,1539.62,23.55,27.83,20.24,0.36779,0.754419344,6.1,347.42,0,9.530247592,5.850534423,7.339290912,3.15912582,3.326114576,1,0,0,0,0,0,0,1,0,0,0,5,26,676,1,0,1,0,0,0
669,1987,SEAsia,Cambodia,13248,1335.53,23.95,28.31,20.57,-7.05128,0.790752257,5.7,349.19,0,9.491601877,5.855616187,7.197083496,3.175968324,3.343215099,1,0,0,0,0,0,0,1,0,0,0,5,27,729,1,0,1,0,0,0
690,1988,SEAsia,Cambodia,13699,1340.74,23.73,28,20.45,-3.72756,0.826725457,5.3,351.57,0,9.525078116,5.862408838,7.200976979,3.16674007,3.33220451,0,0,1,0,0,0,0,0,0,1,0,7,28,784,1,0,1,0,0,0
721,1989,SEAsia,Cambodia,14358,1453.33,23.78,28.16,20.45,-2.30905,0.862354987,5.2,353.12,0,9.572062557,5.866807943,7.281612754,3.168844891,3.337902531,0,0,1,0,0,0,0,0,0,1,0,7,29,841,1,0,1,0,0,0
744,1990,SEAsia,Cambodia,13477,1351.67,24.04,28.37,20.77,-6.72967,0.897708911,5.4,354.39,0,9.508739808,5.870398002,7.209096144,3.17971911,3.345332249,0,1,1,0,0,1,0,0,0,0,0,3,30,900,1,0,1,0,0,0
764,1991,SEAsia,Cambodia,13962,1363.38,24.39,28.74,21.05,-7.61205,0.932835075,5.5,355.61,0,9.544094633,5.873834625,7.21772219,3.194173212,3.358289881,0,0,0,0,0,0,0,0,0,0,1,0,31,961,1,0,1,0,0,0
799,1992,SEAsia,Cambodia,13178,1326.49,24.11,28.51,20.77,-9.56359,0.97218278,5.8,356.45,0,9.486304051,5.876193978,7.190291635,3.182626692,3.350254903,1,1,0,0,1,0,0,0,0,0,0,2,32,1024,1,0,1,0,0,0
824,1993,SEAsia,Cambodia,13069,1419.73,24.2,28.72,20.91,-7.18348,1.011571227,5.9,357.1,0,9.477998293,5.878015855,7.258221992,3.186352633,3.357593744,1,0,0,0,0,0,0,1,0,0,0,5,33,1089,1,0,1,0,0,0
858,1994,SEAsia,Cambodia,14877,1432.69,24.31,28.73,21.07,0.37578,1.05100834,5.9,358.83,0,9.607571675,5.882848739,7.267309075,3.190887788,3.357941873,1,0,0,0,0,0,0,1,0,0,0,5,34,1156,1,0,1,0,0,0
886,1995,SEAsia,Cambodia,17920,1496.55,24.13,28.62,20.76,-0.30113,1.090470886,5.9,360.82,0,9.793672687,5.888379219,7.310917738,3.18345588,3.354105774,1,0,1,0,0,0,1,0,0,0,0,4,35,1225,1,0,1,0,0,0
918,1996,SEAsia,Cambodia,18116,1553.43,23.82,28.21,20.57,2.44911,1.105623062,5.9,362.61,0,9.804550805,5.893327877,7.348220668,3.170525564,3.339676525,1,0,1,0,0,0,1,0,0,0,0,4,36,1296,1,0,1,0,0,0
950,1997,SEAsia,Cambodia,17706,1327.89,24.39,28.92,20.98,-0.73887,1.120737135,6,363.73,0,9.781658844,5.896411834,7.191346495,3.194173212,3.364533397,1,1,0,0,1,0,0,0,0,0,0,2,37,1369,1,0,1,0,0,0
979,1998,SEAsia,Cambodia,17884,1394.44,24.76,29.25,21.45,-15.76612,1.135822368,5.9,366.7,0,9.791661737,5.904544075,7.24024818,3.209229448,3.375879574,1,1,1,1,0,0,0,0,0,0,0,1,38,1444,1,0,1,0,0,0
1011,1999,SEAsia,Cambodia,19433,1565.05,23.8,28.09,20.65,-0.01884,1.150869734,6,368.38,0,9.874727931,5.909115014,7.355673051,3.169685581,3.335413641,0,0,0,0,0,0,0,0,0,0,1,0,39,1521,1,0,1,0,0,0
1044,2000,SEAsia,Cambodia,21155,1721.65,24.05,28.41,20.84,8.2661,1.165888372,5.9,369.55,0,9.959631563,5.912286049,7.451038412,3.180134997,3.346741196,0,0,0,0,0,0,0,0,0,0,1,0,40,1600,1,0,1,0,0,0
1072,2001,SEAsia,Cambodia,20699,1457.04,24.5,28.86,21.25,2.54111,1.180873745,5.8,371.14,0,9.937840669,5.91657935,7.284162259,3.198673118,3.362456553,0,0,1,0,0,0,0,0,0,1,0,7,41,1681,1,0,1,0,0,0
1105,2002,SEAsia,Cambodia,19164,1264.9,24.61,29.07,21.33,-4.23483,1.200913989,5.7,373.28,0,9.860788798,5.922328808,7.142748347,3.203152864,3.369706715,0,0,1,0,0,0,0,0,0,1,0,7,42,1764,1,0,1,0,0,0
1141,2003,SEAsia,Cambodia,21012,1408.52,24.59,29.22,21.1,-4.92578,1.214091018,5.9,375.8,0,9.952848982,5.929057087,7.250294787,3.202339856,3.374853406,1,0,1,0,0,0,1,0,0,0,0,4,43,1849,1,0,1,0,0,0
1172,2004,SEAsia,Cambodia,19773,1371.72,24.43,28.8,20.96,-7.43272,1.22856669,5.7,377.52,0,9.89207265,5.933623547,7.223820706,3.195811885,3.360375387,1,1,0,0,1,0,0,0,0,0,0,2,44,1936,1,0,1,0,0,0
1202,2005,SEAsia,Cambodia,24793,1447.73,24.58,28.71,21.42,-11.63013,1.245222053,6.5,379.8,0,10.11831663,5.939644798,7.277752091,3.201933104,3.357245494,1,1,1,1,0,0,0,0,0,0,0,1,45,2025,1,0,1,0,0,0
1231,2006,SEAsia,Cambodia,24893,1506.12,24.19,28.48,20.92,-0.43989,1.274674926,6.6,381.9,0,10.12234192,5.945158794,7.317292086,3.185939325,3.349202087,1,1,0,0,1,0,0,0,0,0,0,2,46,2116,1,0,1,0,0,0
1265,2007,SEAsia,Cambodia,26216,1501.98,24.06,28.3,20.84,-2.91176,1.297465133,6.6,383.79,0,10.17412519,5.950095528,7.314539517,3.180550711,3.342861805,0,1,0,0,0,0,0,0,1,0,0,6,47,2209,1,0,1,0,0,0
1299,2008,SEAsia,Cambodia,27457,1636.04,23.74,27.98,20.62,2.35576,1.324935496,6.6,385.6,0,10.22037642,5.954800563,7.400033967,3.167161389,3.331489969,0,0,0,0,0,0,0,0,0,0,1,0,48,2304,1,0,1,0,0,0
1324,2009,SEAsia,Cambodia,28363,1463.79,24.07,28.5,20.82,0.53142,1.349320014,6.6,387.43,0,10.25284076,5.959535187,7.288784242,3.180966252,3.349904087,0,0,1,0,0,0,0,0,0,1,0,7,49,2401,1,0,1,0,0,0
1360,2010,SEAsia,Cambodia,29697,1352.38,24.51,28.87,21.36,-11.09689,1.377167477,6.5,389.9,0,10.29880131,5.965890296,7.209621282,3.199081198,3.362802994,0,1,1,0,0,1,0,0,0,0,0,3,50,2500,1,0,1,0,0,0
1390,2011,SEAsia,Cambodia,29574,1550.25,23.96,28.28,20.81,3.14883,1.411571431,6.5,391.65,0,10.29465088,5.970368584,7.346171487,3.176385773,3.342154841,0,1,0,0,0,0,0,0,1,0,0,6,51,2601,1,0,1,0,0,0
1425,2012,SEAsia,Cambodia,30892,1348.87,24.57,28.86,21.52,1.39359,1.439314126,6.5,393.85,0,10.33825253,5.975970126,7.207022484,3.201526187,3.362456553,0,1,0,0,0,0,0,0,1,0,0,6,52,2704,1,0,1,0,0,0
1453,2013,SEAsia,Cambodia,31675,1516.04,24.11,28.37,21.03,-7.78736,1.467163431,6.5,396.52,0,10.36328301,5.982726481,7.323856951,3.182626692,3.345332249,0,1,1,0,0,1,0,0,0,0,0,3,53,2809,1,0,1,0,0,0
1488,2014,SEAsia,Cambodia,32639,1500.15,24.24,28.63,20.97,-5.56151,1.513356542,6.5,398.65,0,10.39326317,5.988083839,7.313320382,3.188004161,3.354455119,1,0,1,0,0,0,1,0,0,0,0,4,54,2916,1,0,1,0,0,0
1516,2015,SEAsia,Cambodia,33398,1116.53,24.62,29.06,21.36,-9.70775,1.549073197,6.4,400.83,0,10.4162513,5.993537397,7.017980941,3.203559121,3.369362658,1,0,1,0,0,0,1,0,0,0,0,4,55,3025,1,0,1,0,0,0
3,1961,EAsia,China,20434,1001.22,12.7,15.62,10.07,-1.56877,12.13669772,13,317.64,0,9.924955459,5.760918666,6.908974535,2.541601993,2.748552144,0,1,0,0,0,0,0,0,1,0,0,6,1,1,1,1,0,0,0,0
28,1962,EAsia,China,23408,1095.56,12.17,15.11,9.5,3.17438,13.03581018,12.9,318.45,0,10.06083312,5.763465477,6.999020927,2.498973907,2.715356776,0,1,1,0,0,1,0,0,0,0,0,3,2,4,1,1,0,0,0,0
54,1963,EAsia,China,26642,869.44,12.57,15.55,9.9,5.7075,13.93443673,12.9,318.99,0,10.1902442,5.765159754,6.767849326,2.531313023,2.744060639,1,0,0,0,0,0,0,1,0,0,0,5,3,9,1,1,0,0,0,0
79,1964,EAsia,China,28062,991.77,12.48,15.17,10.12,7.45953,14.83154561,12.8,319.62,0,10.24217163,5.76713279,6.899491226,2.524127363,2.719319793,0,1,1,0,0,1,0,0,0,0,0,3,4,16,1,1,0,0,0,0
103,1965,EAsia,China,29441,950.9,11.95,14.8,9.38,-0.08107,15.72919467,12.7,320.04,0,10.29014354,5.768445988,6.857408905,2.480731278,2.694627181,1,0,0,0,0,0,0,1,0,0,0,5,5,25,1,1,0,0,0,0
126,1966,EAsia,China,31277,831.89,12.27,15.28,9.58,-2.66952,19.28605396,12.6,321.38,0,10.35063828,5.772624224,6.723700221,2.507157259,2.726544784,0,1,0,0,0,0,0,0,1,0,0,6,6,36,1,1,0,0,0,0
153,1967,EAsia,China,30811,899,12.5,15.47,9.91,-3.54903,22.84092116,12.6,322.16,0,10.33562705,5.775048317,6.801283034,2.525728644,2.738902665,0,1,0,0,0,0,0,0,1,0,0,6,7,49,1,1,0,0,0,0
178,1968,EAsia,China,31653,949.01,12.05,15.02,9.45,-8.00355,26.3937884,12.5,323.04,0,10.36258821,5.777776155,6.855419336,2.48906466,2.709382646,1,0,0,0,0,0,0,1,0,0,0,5,8,64,1,1,0,0,0,0
205,1969,EAsia,China,31269,1035.87,12.11,15.05,9.55,1.54762,29.94464891,12.4,324.62,0,10.35038247,5.782655267,6.942996932,2.494031558,2.711377991,0,1,1,0,0,1,0,0,0,0,0,3,9,81,1,1,0,0,0,0
230,1970,EAsia,China,34025,1099.69,11.93,14.71,9.56,4.90877,33.49349572,12.3,325.68,0,10.43485083,5.785915304,7.002783601,2.479056236,2.688527535,0,1,1,0,0,1,0,0,0,0,0,3,10,100,1,1,0,0,0,0
252,1971,EAsia,China,33026,877.6,12.19,15.07,9.59,1.86212,37.04032236,12.1,326.32,0,10.40505041,5.787878495,6.777190909,2.500615943,2.712706013,0,0,0,0,0,0,0,0,0,0,1,0,11,121,1,1,0,0,0,0
276,1972,EAsia,China,32288,908.07,12.06,14.93,9.46,0.0791,40.58508586,12,327.45,0,10.38245092,5.791335372,6.811321468,2.489894191,2.703372612,0,0,0,0,0,0,0,0,0,0,1,0,12,144,1,1,0,0,0,0
301,1973,EAsia,China,34727,1212.48,12.25,14.87,9.9,6.11283,44.12884291,11.9,329.68,0,10.45527276,5.798122487,7.100423128,2.505525937,2.69934576,0,0,1,0,0,0,0,0,0,1,0,7,13,169,1,1,0,0,0,0
327,1974,EAsia,China,34926,936.47,12.15,15.06,9.52,0.53905,47.66953462,11.7,330.18,0,10.46098682,5.79963796,6.842117487,2.49732917,2.712042222,0,0,0,0,0,0,0,0,0,0,1,0,14,196,1,1,0,0,0,0
355,1975,EAsia,China,35178,1113.6,12.38,15.07,10.01,3.41793,51.20818471,11.7,331.11,0,10.46817617,5.802450646,7.01535329,2.516082267,2.712706013,0,0,0,0,0,0,0,0,0,0,1,0,15,225,1,1,0,0,0,0
378,1976,EAsia,China,34771,915.31,11.81,14.56,9.35,4.06372,57.65698774,11.6,332.04,0,10.45653899,5.805255444,6.819262806,2.46894663,2.678278043,0,1,0,0,0,0,0,0,1,0,0,6,16,256,1,1,0,0,0,0
403,1977,EAsia,China,36226,1032.72,12.28,15.06,9.79,1.30814,64.10289784,11.5,333.83,0,10.49753237,5.810631881,6.939951377,2.507971923,2.712042222,1,0,0,0,0,0,0,1,0,0,0,5,17,289,1,1,0,0,0,0
427,1978,EAsia,China,39781,781.24,12.49,15.47,9.82,-6.24092,70.54487314,11.4,335.4,0,10.59114469,5.815323849,6.660882401,2.524928324,2.738902665,1,1,0,0,1,0,0,0,0,0,0,2,18,324,1,1,0,0,0,0
452,1979,EAsia,China,42481,948.3,12.18,14.9,9.55,-3.60766,76.98189149,11.4,336.84,0,10.6568122,5.81960804,6.854670908,2.499795262,2.701361213,1,1,0,0,1,0,0,0,0,0,0,2,19,361,1,1,0,0,0,0
476,1980,EAsia,China,41338,1058.21,11.97,14.69,9.54,2.97776,83.41598231,11.3,338.75,0,10.62953745,5.825262372,6.96433408,2.48240352,2.68716699,1,1,1,1,0,0,0,0,0,0,0,1,20,400,1,1,0,0,0,0
502,1981,EAsia,China,43280,1010.51,12.34,15.09,9.91,-1.48413,89.84611848,11.3,340.11,0,10.67544591,5.829269095,6.918210433,2.512846018,2.714032273,1,1,1,1,0,0,0,0,0,0,0,1,21,441,1,1,0,0,0,0
528,1982,EAsia,China,48913,950.22,12.23,14.96,9.79,-2.95983,96.29707842,11.1,341.45,0,10.79779849,5.833201255,6.856693537,2.50389195,2.705379973,1,1,0,0,1,0,0,0,0,0,0,2,22,484,1,1,0,0,0,0
552,1983,EAsia,China,50961,1129.02,12.46,15.16,10.09,2.20846,102.7489673,10.8,343.05,0,10.83881591,5.837876209,7.029105279,2.522523513,2.71866038,1,1,0,0,1,0,0,0,0,0,0,2,23,529,1,1,0,0,0,0
577,1984,EAsia,China,53726,1004.29,12.13,14.81,9.76,0.35651,109.1997353,10.5,344.65,0,10.89165233,5.842529409,6.912036103,2.495681723,2.695302628,1,0,0,0,0,0,0,1,0,0,0,5,24,576,1,1,0,0,0,0
603,1985,EAsia,China,52563,909.34,12.27,14.95,9.88,2.96639,115.651447,10.3,346.12,0,10.86976773,5.846785536,6.812719062,2.507157259,2.7047113,1,0,0,0,0,0,0,1,0,0,0,5,25,625,1,1,0,0,0,0
627,1986,EAsia,China,53376,909.68,12.35,15.19,9.87,-1.90984,118.4931323,10.2,347.42,0,10.88511649,5.850534423,6.813092889,2.513656063,2.720637317,1,0,0,0,0,0,0,1,0,0,0,5,26,676,1,1,0,0,0,0
652,1987,EAsia,China,54130,1059.85,12.25,14.96,9.86,-0.08564,121.3362069,10.1,349.19,0,10.89914384,5.855616187,6.965882668,2.505525937,2.705379973,1,0,0,0,0,0,0,1,0,0,0,5,27,729,1,1,0,0,0,0
677,1988,EAsia,China,52868,944.51,12.3,15,9.93,0.40036,124.17861,10,351.57,0,10.87555352,5.862408838,6.850666274,2.509599262,2.708050201,0,0,1,0,0,0,0,0,0,1,0,7,28,784,1,1,0,0,0,0
703,1989,EAsia,China,55085,978.08,12.28,14.91,9.95,-1.15014,127.0213386,9.9,353.12,0,10.91663273,5.866807943,6.885591466,2.507971923,2.702032129,0,0,1,0,0,0,0,0,0,1,0,7,29,841,1,1,0,0,0,0
729,1990,EAsia,China,57261,974.06,12.52,15.25,10.17,5.99242,129.8643658,9.8,354.39,0,10.95537504,5.870398002,6.881472903,2.527327366,2.724579503,0,1,1,0,0,1,0,0,0,0,0,3,30,900,1,1,0,0,0,0
753,1991,EAsia,China,56402,1036.21,12.25,14.91,9.91,4.56292,132.7086913,9.8,355.61,0,10.9402599,5.873834625,6.943325105,2.505525937,2.702032129,0,0,0,0,0,0,0,0,0,0,1,0,31,961,1,1,0,0,0,0
783,1992,EAsia,China,58031,918.62,12.17,14.94,9.73,-3.0762,135.5568813,9.7,356.45,0,10.96873263,5.876193978,6.822872544,2.498973907,2.70404218,1,1,0,0,1,0,0,0,0,0,0,2,32,1024,1,1,0,0,0,0
812,1993,EAsia,China,58479,1063.65,12.15,14.8,9.83,0.02571,138.405249,9.7,357.1,0,10.97642299,5.878015855,6.969461668,2.49732917,2.694627181,1,0,0,0,0,0,0,1,0,0,0,5,33,1089,1,1,0,0,0,0
847,1994,EAsia,China,58311,1040.28,12.59,15.33,10.21,-0.93523,141.2538076,9.7,358.83,0,10.97354603,5.882848739,6.947245187,2.532902848,2.729811693,1,0,0,0,0,0,0,1,0,0,0,5,34,1156,1,1,0,0,0,0
877,1995,EAsia,China,60248,1036.05,12.41,15.08,9.99,-2.76302,144.1035913,9.8,360.82,0,11.00622466,5.888379219,6.943170684,2.518502599,2.713369363,1,0,1,0,0,0,1,0,0,0,0,4,35,1225,1,1,0,0,0,0
907,1996,EAsia,China,62122,1053.3,12.12,14.74,9.75,-0.92412,150.2723124,10.1,362.61,0,11.03685547,5.893327877,6.959683372,2.494856981,2.690564887,1,0,1,0,0,0,1,0,0,0,0,4,36,1296,1,1,0,0,0,0
938,1997,EAsia,China,63192,992.61,12.45,15.15,10.01,-4.58422,156.4413856,10.2,363.73,0,11.05393299,5.896411834,6.900337838,2.521720623,2.718000532,1,1,0,0,1,0,0,0,0,0,0,2,37,1369,1,1,0,0,0,0
968,1998,EAsia,China,63662,1125.37,12.91,15.6,10.5,4.17717,162.6097844,10.2,366.7,0,11.06134312,5.904544075,7.025867149,2.558002205,2.747270914,1,1,1,1,0,0,0,0,0,0,0,1,38,1444,1,1,0,0,0,0
998,1999,EAsia,China,63447,1117.93,12.4,14.97,10.07,-2.33729,168.7795628,10.2,368.38,0,11.05796019,5.909115014,7.01923404,2.517696473,2.706048198,0,0,0,0,0,0,0,0,0,0,1,0,39,1521,1,1,0,0,0,0
1031,2000,EAsia,China,62716,952.86,12.64,15.36,10.17,-4.60147,174.9496949,10.3,369.55,0,11.04637188,5.912286049,6.859467988,2.536866389,2.731766728,0,0,0,0,0,0,0,0,0,0,1,0,40,1600,1,1,0,0,0,0
1060,2001,EAsia,China,61634,915.11,12.67,15.38,10.21,-6.07085,181.1201817,10.7,371.14,0,11.02896895,5.91657935,6.819044277,2.539236994,2.733067964,0,0,1,0,0,0,0,0,0,1,0,7,41,1681,1,1,0,0,0,0
1062,2001,EAsia,China,118290,915.11,12.67,15.38,10.21,-6.07085,181.1201817,10.7,577.5,1,11.68089452,6.358708442,6.819044277,2.539236994,2.733067964,0,0,1,0,0,0,0,0,0,1,0,7,41,1681,1,1,0,0,0,0
1090,2002,EAsia,China,110380,1116.26,12.61,15.29,10.16,-7.58002,187.0773059,11.1,562.4,1,11.61168424,6.33221334,7.017739091,2.53449015,2.72719902,0,0,1,0,0,0,0,0,0,1,0,7,42,1764,1,1,0,0,0,0
1091,2002,EAsia,China,61889,1116.26,12.61,15.29,10.16,-7.58002,187.0773059,11.1,373.28,0,11.03309774,5.922328808,7.017739091,2.53449015,2.72719902,0,0,1,0,0,0,0,0,0,1,0,7,42,1764,1,1,0,0,0,0
1121,2003,EAsia,China,97170,934.3,12.66,15.36,10.21,1.76243,193.2361818,11.8,574.4,1,11.4842173,6.353326018,6.839797586,2.538447417,2.731766728,1,0,1,0,0,0,1,0,0,0,0,4,43,1849,1,1,0,0,0,0
1122,2003,EAsia,China,60607,934.3,12.66,15.36,10.21,1.76243,193.2361818,11.8,375.8,0,11.01216568,5.929057087,6.839797586,2.538447417,2.731766728,1,0,1,0,0,0,1,0,0,0,0,4,43,1849,1,1,0,0,0,0
1152,2004,EAsia,China,63107,890.71,12.57,15.44,10.02,-0.47531,199.3942955,11.9,377.52,0,11.05258698,5.933623547,6.792018897,2.531313023,2.736961545,1,1,0,0,1,0,0,0,0,0,0,2,44,1936,1,1,0,0,0,0
1186,2005,EAsia,China,62601,984.26,12.65,15.37,10.27,-2.3074,205.5551978,12,379.8,0,11.04453653,5.939644798,6.89189009,2.537657215,2.732417558,1,1,1,1,0,0,0,0,0,0,0,1,45,2025,1,1,0,0,0,0
1215,2006,EAsia,China,62796,949.58,12.72,15.51,10.25,-2.48537,210.101775,12.2,381.9,0,11.04764666,5.945158794,6.856019782,2.543175558,2.741484977,1,1,0,0,1,0,0,0,0,0,0,2,46,2116,1,1,0,0,0,0
1244,2007,EAsia,China,64329,922.41,12.82,15.6,10.39,-6.42212,214.6419661,12.3,383.79,0,11.07176582,5.950095528,6.82698981,2.551006451,2.747270914,0,1,0,0,0,0,0,0,1,0,0,6,47,2209,1,1,0,0,0,0
1277,2008,EAsia,China,65625,1010.26,12.73,15.47,10.33,-3.20257,219.1740132,12.3,385.6,0,11.091712,5.954800563,6.917963002,2.543961413,2.738902665,0,0,0,0,0,0,0,0,0,0,1,0,48,2304,1,1,0,0,0,0
1311,2009,EAsia,China,65853,903.44,12.72,15.49,10.28,-5.67723,223.7111933,12.5,387.43,0,11.09518026,5.959535187,6.806209699,2.543175558,2.740194654,0,0,1,0,0,0,0,0,0,1,0,7,49,2401,1,1,0,0,0,0
1343,2010,EAsia,China,65530,1132.24,12.32,14.95,10.02,1.27456,228.2540292,12.9,389.9,0,11.09026333,5.965890296,7.03195325,2.511223958,2.7047113,0,1,1,0,0,1,0,0,0,0,0,3,50,2500,1,1,0,0,0,0
1381,2011,EAsia,China,66873,842.27,12.4,15.21,9.93,-3.6879,232.7883136,13.2,391.65,0,11.11055058,5.970368584,6.736100628,2.517696473,2.721953106,0,1,0,0,0,0,0,0,1,0,0,6,51,2601,1,1,0,0,0,0
1408,2012,EAsia,China,67769,998.76,12.55,15.26,10.19,1.02379,237.328365,13.2,393.85,0,11.12386014,5.975970126,6.90651451,2.529720666,2.725235026,0,1,0,0,0,0,0,0,1,0,0,6,52,2704,1,1,0,0,0,0
1441,2013,EAsia,China,67173,982.07,12.67,15.48,10.22,-1.32089,241.8696176,13.5,396.52,0,11.11502666,5.982726481,6.889662589,2.539236994,2.739548868,0,1,1,0,0,1,0,0,0,0,0,3,53,2809,1,1,0,0,0,0
1472,2014,EAsia,China,68132,1036.26,12.47,15.17,10.14,-6.36131,246.409322,13.6,398.65,0,11.12920228,5.988083839,6.943373357,2.52332576,2.719319793,1,0,1,0,0,0,1,0,0,0,0,4,54,2916,1,1,0,0,0,0
1502,2015,EAsia,China,68915,1083.08,12.58,15.3,10.22,-1.21752,250.9419889,13.5,400.83,0,11.14062914,5.993537397,6.987564113,2.532108251,2.727852828,1,0,1,0,0,0,1,0,0,0,0,4,55,3025,1,1,0,0,0,0
7,1961,SAsia,India,15419,1088.59,15.83,19.62,12.48,7.20728,4.925568985,14.8,317.64,0,9.643355794,5.760918666,6.99263856,2.761906874,2.976549454,0,1,0,0,0,0,0,0,1,0,0,6,1,1,1,0,0,1,0,0
34,1962,SAsia,India,13959,909.42,15.85,19.79,12.33,9.19405,5.290914159,14.9,318.45,0,9.543879741,5.763465477,6.812807034,2.7631695,2.98517676,0,1,1,0,0,1,0,0,0,0,0,3,2,4,1,0,0,1,0,0
57,1963,SAsia,India,15498,955.76,16.01,19.95,12.51,4.78841,5.657235732,15.2,318.99,0,9.648466262,5.765159754,6.862506836,2.773213527,2.993229143,1,0,0,0,0,0,0,1,0,0,0,5,3,9,1,0,0,1,0,0
81,1964,SAsia,India,16171,1021.15,16.01,19.97,12.52,2.86134,6.023565004,15.4,319.62,0,9.690974794,5.76713279,6.928684722,2.773213527,2.994231147,0,1,1,0,0,1,0,0,0,0,0,3,4,16,1,0,0,1,0,0
112,1965,SAsia,India,12936,790.63,16.03,19.99,12.51,2.8163,6.38990134,15.6,320.04,0,9.467769401,5.768445988,6.672830096,2.774461967,2.995232149,1,0,0,0,0,0,0,1,0,0,0,5,5,25,1,0,0,1,0,0
136,1966,SAsia,India,12952,798.56,16.23,20.21,12.7,-5.33396,7.656822615,15.8,321.38,0,9.469005495,5.772624224,6.682810106,2.786861382,3.006177531,0,1,0,0,0,0,0,0,1,0,0,6,6,36,1,0,0,1,0,0
157,1967,SAsia,India,15484,907.27,15.9,19.83,12.42,1.65281,8.923775957,16,322.16,0,9.647562512,5.775048317,6.81044009,2.766319109,2.987195943,0,1,0,0,0,0,0,0,1,0,0,6,7,49,1,0,0,1,0,0
182,1968,SAsia,India,16134,838.3,15.92,19.85,12.44,3.77779,10.19076339,16.5,323.04,0,9.688684125,5.777776155,6.731376032,2.76757618,2.988204007,1,0,0,0,0,0,0,1,0,0,0,5,8,64,1,0,0,1,0,0
210,1969,SAsia,India,16094,915.14,16.19,20.15,12.73,-4.04824,11.45778341,17.1,324.62,0,9.686201811,5.782655267,6.819077059,2.784393768,3.003204288,0,1,1,0,0,1,0,0,0,0,0,3,9,81,1,0,0,1,0,0
234,1970,SAsia,India,16849,988.54,15.92,19.79,12.52,2.98145,12.72483462,17.7,325.68,0,9.732046587,5.785915304,6.896229107,2.76757618,2.98517676,0,1,1,0,0,1,0,0,0,0,0,3,10,100,1,0,0,1,0,0
