,Year,Region,Country,Yields,Prec,Tmean,Tmax,Tmin,SPEI,FertApp,IrrRate,CO2,FACE_dummy,log_Yields,log_CO2,log_Prec,log_Tmean,log_Tmax,PDO,TAG,WPWP,C1,C2,C3,C4,C5,C6,C7,C8,DCV,Trend,Sq_Trend,Asia,EAsia,SEAsia,SAsia,WAsia,CAsia
459,1979,SAsia,Nepal,16424,1254.49,11.58,14.72,8.17,4.07803,15.64976129,11.3,336.84,0,9.706498959,5.81960804,7.134484394,2.449279472,2.689207113,1,1,0,0,1,0,0,0,0,0,0,2,19,361,1,0,0,1,0,0
481,1980,SAsia,Nepal,19320,1224.59,11.66,14.98,8.46,-2.36917,16.94791954,12.7,338.75,0,9.868896108,5.825262372,7.110361373,2.456164181,2.706715978,1,1,1,1,0,0,0,0,0,0,0,1,20,400,1,0,0,1,0,0
506,1981,SAsia,Nepal,19746,1364.45,11.56,14.93,8.3,-1.58162,18.24449512,14.2,340.11,0,9.890706218,5.829269095,7.218506696,2.447550863,2.703372612,1,1,1,1,0,0,0,0,0,0,0,1,21,441,1,0,0,1,0,0
536,1982,SAsia,Nepal,14489,1149.88,11.57,15.04,8.22,-0.08004,19.56030564,14.2,341.45,0,9.58114502,5.833201255,7.047412868,2.448415541,2.710713319,1,1,0,0,1,0,0,0,0,0,0,2,22,484,1,0,0,1,0,0
559,1983,SAsia,Nepal,20664,1325.77,11.51,14.97,8.14,0.84228,20.87405718,15.7,343.05,0,9.936148335,5.837876209,7.189748702,2.443216223,2.706048198,1,1,0,0,1,0,0,0,0,0,0,2,23,529,1,0,0,1,0,0
585,1984,SAsia,Nepal,19678,1468.79,11.51,14.94,8.2,3.26006,22.18831952,17.1,344.65,0,9.887256539,5.842529409,7.292194212,2.443216223,2.70404218,1,0,0,0,0,0,0,1,0,0,0,5,24,576,1,0,0,1,0,0
609,1985,SAsia,Nepal,20161,1524.26,11.79,15.06,8.58,-5.47233,23.50033348,18.5,346.12,0,9.911505324,5.846785536,7.329264325,2.467251715,2.712042222,1,0,0,0,0,0,0,1,0,0,0,5,25,625,1,0,0,1,0,0
636,1986,SAsia,Nepal,17790,1278.48,11.45,14.85,8.17,-1.31419,24.90570717,18.8,347.42,0,9.786391781,5.850534423,7.153427151,2.43798973,2.697999865,1,0,0,0,0,0,0,1,0,0,0,5,26,676,1,0,0,1,0,0
660,1987,SAsia,Nepal,20950,1489.21,11.71,15.11,8.5,-8.67094,26.308676,19.1,349.19,0,9.949893925,5.855616187,7.306001057,2.460443178,2.715356776,1,0,0,0,0,0,0,1,0,0,0,5,27,729,1,0,0,1,0,0
687,1988,SAsia,Nepal,22635,1435.89,11.83,15.13,8.67,-8.16583,27.7106285,19.5,351.57,0,10.02725266,5.862408838,7.269540145,2.470638678,2.716679528,0,0,1,0,0,0,0,0,0,1,0,7,28,784,1,0,0,1,0,0
